################################################################
# abuse.ch URLhaus Database Dump (CSV - recent URLs only)      #
# Last updated: 2026-08-18 18:46:07 (UTC)                      #
#                                                              #
# Terms Of Use: https://urlhaus.abuse.ch/api/                  #
# For questions please contact urlhaus [at] abuse.ch           #
################################################################
#
# id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
"3905449","2026-08-18 18:46:07","http://103.160.130.178:42478/i","online","2026-08-18 18:46:07","malware_download","Mozi","https://urlhaus.abuse.ch/url/3905449/","GAYINT_DOT_ORG"
"3905448","2026-08-18 18:27:19","http://85.12.251.50:45018/i","online","2026-08-18 18:27:19","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/3905448/","geenensp"
"3905447","2026-08-18 18:22:06","http://103.160.130.178:42478/bin.sh","online","2026-08-18 18:22:06","malware_download","Mozi","https://urlhaus.abuse.ch/url/3905447/","GAYINT_DOT_ORG"
"3905446","2026-08-18 18:22:05","http://46.16.150.139:51622/i","online","2026-08-18 18:22:05","malware_download","None","https://urlhaus.abuse.ch/url/3905446/","GAYINT_DOT_ORG"
"3905445","2026-08-18 18:10:21","http://85.12.251.50:45018/bin.sh","online","2026-08-18 18:10:21","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/3905445/","geenensp"
"3905444","2026-08-18 17:56:05","http://46.16.150.139:51622/bin.sh","online","2026-08-18 17:56:05","malware_download","None","https://urlhaus.abuse.ch/url/3905444/","GAYINT_DOT_ORG"
"3905443","2026-08-18 17:37:29","http://125.42.252.20:55570/i","online","2026-08-18 17:37:29","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/3905443/","geenensp"
"3905442","2026-08-18 17:09:31","http://125.110.38.44:54807/bin.sh","online","2026-08-18 17:09:31","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/3905442/","geenensp"
"3905441","2026-08-18 17:07:21","http://116.138.107.171:58489/i","online","2026-08-18 17:07:21","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/3905441/","geenensp"
"3905440","2026-08-18 16:56:20","http://81.227.43.128:45355/bin.sh","online","2026-08-18 16:56:20","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/3905440/","geenensp"
"3905439","2026-08-18 16:17:08","http://120.84.215.27:44835/i","online","2026-08-18 16:17:08","malware_download","None","https://urlhaus.abuse.ch/url/3905439/","GAYINT_DOT_ORG"
"3905435","2026-08-18 16:05:19","http://176.65.139.212/eclipse.sh4","online","2026-08-18 16:05:19","malware_download","176-65-139-212,elf,mirai,ua-wget","https://urlhaus.abuse.ch/url/3905435/","BlinkzSec"
"3905436","2026-08-18 16:05:19","http://176.65.139.212/eclipse.i586","online","2026-08-18 16:05:19","malware_download","176-65-139-212,elf,mirai,ua-wget","https://urlhaus.abuse.ch/url/3905436/","BlinkzSec"
"3905437","2026-08-18 16:05:19","http://176.65.139.212/eclipse.m68k","online","2026-08-18 16:05:19","malware_download","176-65-139-212,elf,mirai,ua-wget","https://urlhaus.abuse.ch/url/3905437/","BlinkzSec"
"3905438","2026-08-18 16:05:19","http://176.65.139.212/eclipse.armv6l","online","2026-08-18 16:05:19","malware_download","176-65-139-212,elf,mirai,ua-wget","https://urlhaus.abuse.ch/url/3905438/","BlinkzSec"
